Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Aplastic anemia,Raktapitta,Incurable,Asādhya,Pitta
Chronic bleeding disorder,Raktapitta,Incurable,Asādhya,Pitta
End-stage HIV,Rajayakshma,Incurable,Asādhya,Vata and Pitta
Severe cachexia,Kshaya,Incurable,Asādhya,Vata
Progressive weight loss,Kshaya,Incurable,Asādhya,Vata
Marasmus,Kshaya,Incurable,Asādhya,Vata
Kwashiorkor,Kshaya,Incurable,Asādhya,Kapha
End-stage heart disease,Hridroga,Incurable,Asādhya,Vata and Kapha
Chronic alcoholism,Madyatyaya,Incurable,Asādhya,Pitta
Severe cirrhosis from alcohol,Madyatyaya,Incurable,Asādhya,Pitta
Chronic pancreatitis,Agnimandya,Incurable,Asādhya,Pitta
Severe digestive failure,Agnimandya,Incurable,Asādhya,Vata
Chronic infertility,Vandhyatva,Incurable,Asādhya,Vata and Kapha
End-stage neurological disease,Majjagata Roga,Incurable,Asādhya,Vata
Mild fever,Jvara,Curable,Sādhya,Pitta
Seasonal cold,Pratishyaya,Curable,Sādhya,Kapha
Mild cough,Kasa,Curable,Sādhya,Kapha
Bronchitis (early),Shvāsa,Curable,Sādhya,Vata and Kapha
Tinnitus (mild),Karnanada,Curable,Sādhya,Vata
Toothache,Dantashoola,Curable,Sādhya,Vata and Pitta
Mouth ulcers,Mukha Paka,Curable,Sādhya,Pitta
Dysentery,Raktatisara,Curable,Sādhya,Pitta
Worm infestation,Krimi Roga,Curable,Sādhya,Vata and Kapha
Gas and belching,Udgara,Curable,Sādhya,Vata
Headache (simple),Shirashoola,Curable,Sādhya,Vata
Migraine (early),Ardhavabhedaka,Curable,Sādhya,Vata and Pitta
Eczema (mild),Kustha,Curable,Sādhya,Pitta and Kapha
Hair fall (temporary),Khalitya,Curable,Sādhya,Vata and Pitta
Joint pain (mild),Sandhishoola,Curable,Sādhya,Vata
Joint stiffness (reversible),Sandhigata Vata,Curable,Sādhya,Vata
Back pain (non-chronic),Katishoola,Curable,Sādhya,Vata
Neck pain (temporary),Grivashoola,Curable,Sādhya,Vata
Fatigue (short-term),Daurbalya,Curable,Sādhya,Vata
Insomnia (mild),Anidra,Curable,Sādhya,Vata
Stress-induced headache,Shirashoola,Curable,Sādhya,Vata and Pitta
Urinary burning (acute),Mutrakrichra,Curable,Sādhya,Pitta
Urinary infection (mild),Mutrakrichra,Curable,Sādhya,Pitta
Bedwetting,Mutranilas,Curable,Sādhya,Vata
Menstrual cramps (mild),Dysmenorrhea,Curable,Sādhya,Vata
Irregular menstruation (correctable),Rajonivritti,Curable,Sādhya,Vata
Low-grade anemia,Pandu,Curable,Sādhya,Pitta
Swelling (reversible),Shotha,Curable,Sādhya,Kapha
Simple ulcers (healing),Vrana,Curable,Sādhya,Pitta
Mild fistula (initial),Bhagandara,Curable,Sādhya,Vata
Piles (early),Arsha,Curable,Sādhya,Vata and Pitta
Rectal bleeding (minor),Arsha,Curable,Sādhya,Pitta
Goiter (simple),Galganda,Curable,Sādhya,Kapha
Thyroid swelling (mild),Galganda,Curable,Sādhya,Kapha
Mild asthma,Shvāsa,Curable,Sādhya,Vata and Kapha
Red patches,Shvitra,External,Bāhya,Pitta
White patches,Shvitra,External,Bāhya,Kapha
Hyperpigmentation,Charma Vikara,External,Bāhya,Pitta
Vitiligo spots,Shvitra,External,Bāhya,Pitta and Kapha
Blisters,Visphota,External,Bāhya,Pitta
Burn marks,Dagdha Vrana,External,Bāhya,Pitta
Wounds,Vrana,External,Bāhya,Tridosha
Abscess,Vidradhi,External,Bāhya,Kapha
Fistula,Bhagandara,External,Bāhya,Vata
Fissure,Guda Vrana,External,Bāhya,Vata
Cuts,Chinna Vrana,External,Bāhya,Vata
Bruises,Abhighata,External,Bāhya,Vata
Sprains,Sandhigata Vata,External,Bāhya,Vata
Fractures,Bhagna,External,Bāhya,Vata
Dislocations,Sandhivikruti,External,Bāhya,Vata
Joint swelling,Sandhishotha,External,Bāhya,Kapha
Nail infection,Nakha Roga,External,Bāhya,Kapha
Ingrown nail,Nakha Vikara,External,Bāhya,Vata
Scalp itching,Kandu,External,Bāhya,Kapha
No sweating,Aswedanam,External,Bāhya,Vata
Foul body odor,Dourgandhya,External,Bāhya,Kapha
Excessive ear wax,Karna Vikara,External,Bāhya,Kapha
Ear discharge,Karna Srava,External,Bāhya,Pitta
Stye,Anjananamika,External,Bāhya,Pitta
Corneal opacity,Timira,External,Bāhya,Vata and Pitta
Nosebleed,Nasagata Raktapitta,External,Bāhya,Pitta
Nasal polyps,Nasagata Granthi,External,Bāhya,Kapha
Dental caries,Danta Vikara,External,Bāhya,Kapha
Swollen lips,Oshta Shotha,External,Bāhya,Kapha
Tongue coating,Jihwa Malinata,External,Bāhya,Kapha
Tongue ulcers,Jihwa Paka,External,Bāhya,Pitta
Cracked tongue,Jihwa Vikara,External,Bāhya,Vata
Enlarged tonsils,Tundikeri,External,Bāhya,Kapha
Throat pain,Kantashoola,External,Bāhya,Vata
Voice loss,Swarabheda,External,Bāhya,Vata
Neck swelling,Griva Shotha,External,Bāhya,Kapha
Breast lump,Stana Granthi,External,Bāhya,Kapha
Skin cracks,Charma Vikara,External,Bāhya,Vata
Scabies,Kustha,External,Bāhya,Kapha
Ringworm,Dadru,External,Bāhya,Pitta and Kapha
Wart,Charmakeela,External,Bāhya,Kapha
Corn,Padadari,External,Bāhya,Vata
Athlete’s foot,Padadari,External,Bāhya,Kapha
Foot cracks,Padadari,External,Bāhya,Vata
Hand eczema,Kustha,External,Bāhya,Pitta and Kapha
Callus,Padadari,External,Bāhya,Vata
Low-grade fever,Jvara,Middle,Madhyama,Kapha
Seasonal cough,Kasa,Middle,Madhyama,Kapha
Occasional breathlessness,Shvāsa,Middle,Madhyama,Vata
Throat irritation,Kantashoola,Middle,Madhyama,Kapha
Tonsillitis,Tundikeri,Middle,Madhyama,Kapha
Mild headache,Shirashoola,Middle,Madhyama,Vata
Migraine (intermittent),Ardhavabhedaka,Middle,Madhyama,Vata and Pitta
Gum swelling,Dantaharsha,Middle,Madhyama,Pitta
Abdominal discomfort,Shoola,Middle,Madhyama,Vata
Mild liver disorder,Kamala,Middle,Madhyama,Pitta
Mild jaundice,Kamala,Middle,Madhyama,Pitta
Back pain (reversible),Katishoola,Middle,Madhyama,Vata
Swelling (temporary),Shotha,Middle,Madhyama,Kapha
Eczema (recurrent),Kustha,Middle,Madhyama,Pitta and Kapha
Psoriasis (moderate),Kustha,Middle,Madhyama,Vata and Kapha
Hair fall (moderate),Khalitya,Middle,Madhyama,Vata and Pitta
Grey hair (early),Palitya,Middle,Madhyama,Vata and Pitta
Sweating disorder,Swedadhikya,Middle,Madhyama,Pitta
Hearing difficulty,Karna Badhirya,Middle,Madhyama,Vata
Urinary burning (mild),Mutrakrichra,Middle,Madhyama,Pitta
Irregular periods (moderate),Rajonivritti,Middle,Madhyama,Vata
Mild anemia,Pandu,Middle,Madhyama,Pitta
Palpitations (reversible),Hridroga,Middle,Madhyama,Vata and Pitta
Mild hypertension,Raktagata Vata,Middle,Madhyama,Vata and Pitta
Simple ulcers,Vrana,Middle,Madhyama,Pitta
Anal pain (mild),Arsha,Middle,Madhyama,Vata
Early piles,Arsha,Middle,Madhyama,Vata and Pitta
Goiter (moderate),Galganda,Middle,Madhyama,Kapha
Allergic skin flare,Kustha,Middle,Madhyama,Pitta and Kapha
Seasonal asthma,Shvāsa,Middle,Madhyama,Vata and Kapha
Stress-related headache,Shirashoola,Middle,Madhyama,Vata and Pitta
Insomnia (moderate),Anidra,Middle,Madhyama,Vata
Mild depression,Vishada,Middle,Madhyama,Kapha
Anxiety (manageable),Chittodvega,Middle,Madhyama,Vata
Stomach cramps,Shoola,Internal,Abhyantara,Vata
Diarrhea with undigested food,Grahani,Internal,Abhyantara,Vata
Alternating diarrhea and constipation,Grahani,Internal,Abhyantara,Vata and Kapha
Irritable bowel,Grahani,Internal,Abhyantara,Vata
Anal itching,Arsha,Internal,Abhyantara,Kapha
Anal discharge,Bhagandara,Internal,Abhyantara,Kapha
Chronic ulcerative colitis,Grahani,Internal,Abhyantara,Pitta
Peptic ulcer,Parinama Shoola,Internal,Abhyantara,Pitta
Stress ulcer,Amlapitta,Internal,Abhyantara,Pitta
Liver pain,Yakrut Shoola,Internal,Abhyantara,Pitta
Abdominal swelling,Jalodara,Internal,Abhyantara,Kapha
Urinary obstruction,Mutraghata,Internal,Abhyantara,Vata
Urinary infection,Mutrakrichra,Internal,Abhyantara,Pitta
Polydipsia,Prameha,Internal,Abhyantara,Kapha
Cachexia,Kshaya,Internal,Abhyantara,Vata
Paleness,Pandu,Internal,Abhyantara,Pitta
Hypotension,Raktakshaya,Internal,Abhyantara,Vata
Chronic bronchitis,Shvāsa,Internal,Abhyantara,Kapha
Tuberculosis,Rajayakshma,Internal,Abhyantara,Vata and Pitta
Cough with blood,Rajayakshma,Internal,Abhyantara,Pitta
Epigastric burning,Amlapitta,Internal,Abhyantara,Pitta
Aversion to food,Agnimandya,Internal,Abhyantara,Kapha
Thirstless state,Trishna Hani,Internal,Abhyantara,Vata
Biliary colic,Pittashmari,Internal,Abhyantara,Pitta
Heavy periods,Asrigdara,Internal,Abhyantara,Pitta
Ovarian cyst,Granthi,Internal,Abhyantara,Kapha
Prolonged labor,Prasava Roga,Internal,Abhyantara,Vata
Recurrent miscarriage,Garbha Srava,Internal,Abhyantara,Vata
Chronic skin disorder,Kustha,Internal,Abhyantara,Pitta and Kapha
Systemic lupus erythematosus,Kustha,Internal,Abhyantara,Pitta
Lymph node swelling,Granthi,Internal,Abhyantara,Kapha
Body swelling,Shotha,Internal,Abhyantara,Kapha
Anasarca,Shotha,Internal,Abhyantara,Kapha
Ascitic fluid retention,Jalodara,Internal,Abhyantara,Kapha
Chronic infection,Rajayakshma,Internal,Abhyantara,Vata and Pitta
Chronic inflammation,Shotha,Internal,Abhyantara,Kapha
Severe weakness,Daurbalya,Internal,Abhyantara,Vata
Loss of immunity,Ojakshaya,Internal,Abhyantara,Tridosha
Immune deficiency,Ojakshaya,Internal,Abhyantara,Tridosha
Chronic pain syndrome,Vata Vyadhi,Internal,Abhyantara,Vata
Fibromyalgia,Vata Vyadhi,Internal,Abhyantara,Vata
Bronchial asthma,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Dyspnea (shortness of breath),Shvāsa,Respiratory,Prāṇavāha,Vata
Difficulty breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Noisy breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Mucus in chest,Kaphaja Kasa,Respiratory,Prāṇavāha,Kapha
Phlegm expectoration,Kaphaja Kasa,Respiratory,Prāṇavāha,Kapha
Thick sputum,Kaphaja Kasa,Respiratory,Prāṇavāha,Kapha
Blood in sputum,Rajayakshma,Respiratory,Prāṇavāha,Pitta
Greenish sputum,Kaphaja Kasa,Respiratory,Prāṇavāha,Kapha
Yellow sputum,Pittaja Kasa,Respiratory,Prāṇavāha,Pitta
Frothy sputum,Vataja Kasa,Respiratory,Prāṇavāha,Vata
Morning cough,Kasa,Respiratory,Prāṇavāha,Kapha
Night cough,Kasa,Respiratory,Prāṇavāha,Vata
Paroxysmal cough,Kasa,Respiratory,Prāṇavāha,Vata and Kapha
Whooping cough,Kasa,Respiratory,Prāṇavāha,Vata
Acute bronchitis,Kasa,Respiratory,Prāṇavāha,Kapha
Bronchospasm,Shvāsa,Respiratory,Prāṇavāha,Vata
Inflammation of bronchi,Shvāsa,Respiratory,Prāṇavāha,Kapha
Bronchial congestion,Kaphaja Kasa,Respiratory,Prāṇavāha,Kapha
Lung congestion,Kaphaja Shvāsa,Respiratory,Prāṇavāha,Kapha
Chest pain with cough,Kasa,Respiratory,Prāṇavāha,Vata
Chest burning with cough,Pittaja Kasa,Respiratory,Prāṇavāha,Pitta
Pleural pain,Parshva Shoola,Respiratory,Prāṇavāha,Vata
Pleural effusion,Parshva Shotha,Respiratory,Prāṇavāha,Kapha
Pleuritic chest pain,Parshva Roga,Respiratory,Prāṇavāha,Vata
Laryngitis,Swarabheda,Respiratory,Prāṇavāha,Kapha
Throat swelling,Kantashotha,Respiratory,Prāṇavāha,Kapha
Stridor,Shvāsa,Respiratory,Prāṇavāha,Vata
Blocked nose,Pratishyaya,Respiratory,Prāṇavāha,Kapha
Sinus headache,Peenasa,Respiratory,Prāṇavāha,Kapha
Chronic sinusitis,Peenasa,Respiratory,Prāṇavāha,Kapha
Acute sinusitis,Peenasa,Respiratory,Prāṇavāha,Kapha
Post-nasal drip,Pratishyaya,Respiratory,Prāṇavāha,Kapha
Hay fever,Pratishyaya,Respiratory,Prāṇavāha,Kapha
Epistaxis (nosebleed),Nasa Raktapitta,Respiratory,Prāṇavāha,Pitta
Chronic nasal obstruction,Pratishyaya,Respiratory,Prāṇavāha,Kapha
Difficulty smelling,Ghrana Nasha,Respiratory,Prāṇavāha,Vata
Loss of smell,Ghrana Nasha,Respiratory,Prāṇavāha,Vata
Reduced smell,Ghrana Hani,Respiratory,Prāṇavāha,Vata
Sleep apnea,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Upper airway obstruction,Kantavyatha,Respiratory,Prāṇavāha,Vata
Chronic pharyngitis,Kantashoola,Respiratory,Prāṇavāha,Kapha
Acute pharyngitis,Kantashoola,Respiratory,Prāṇavāha,Kapha
Night sweats in TB,Rajayakshma,Respiratory,Prāṇavāha,Pitta
Weight loss in TB,Rajayakshma,Respiratory,Prāṇavāha,Vata
Fever with cough,Rajayakshma,Respiratory,Prāṇavāha,Pitta
Pneumonia,Shvāsa Jvara,Respiratory,Prāṇavāha,Pitta and Kapha
Fever with chest pain,Shvāsa Jvara,Respiratory,Prāṇavāha,Pitta
Rapid breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Shallow breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Irregular breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Fast breathing,Shvāsa,Respiratory,Prāṇavāha,Vata
Breath-holding episodes,Shvāsa,Respiratory,Prāṇavāha,Vata
Air hunger,Shvāsa,Respiratory,Prāṇavāha,Vata
Suffocation feeling,Shvāsa,Respiratory,Prāṇavāha,Vata
Hypoventilation,Shvāsa Hani,Respiratory,Prāṇavāha,Vata
Orthopnea,Shvāsa,Respiratory,Prāṇavāha,Kapha
Paroxysmal nocturnal dyspnea,Shvāsa,Respiratory,Prāṇavāha,Kapha
Chronic obstructive pulmonary disease,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Bronchiectasis,Kasa,Respiratory,Prāṇavāha,Kapha
Cystic fibrosis-like state,Kaphaja Shvāsa,Respiratory,Prāṇavāha,Kapha
Lung fibrosis,Vataja Shvāsa,Respiratory,Prāṇavāha,Vata
Interstitial lung disease,Vataja Shvāsa,Respiratory,Prāṇavāha,Vata
Pleurisy,Parshva Shoola,Respiratory,Prāṇavāha,Vata
Persistent hiccups,Hikka,Respiratory,Prāṇavāha,Vata
Choking sensation,Kantavyatha,Respiratory,Prāṇavāha,Vata
Aspiration pneumonia,Shvāsa Jvara,Respiratory,Prāṇavāha,Kapha
Voice fatigue,Swarabheda,Respiratory,Prāṇavāha,Vata
Loss of vocal strength,Swarabheda,Respiratory,Prāṇavāha,Vata
Painful respiration,Shvāsa Shoola,Respiratory,Prāṇavāha,Vata
Cold-induced cough,Shita Kasa,Respiratory,Prāṇavāha,Kapha
Dust-induced cough,Peenasa,Respiratory,Prāṇavāha,Kapha
Allergy-induced asthma,Pratishyaya,Respiratory,Prāṇavāha,Kapha
Pollution-induced asthma,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Occupational asthma,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Exertional dyspnea,Shvāsa,Respiratory,Prāṇavāha,Vata
Exercise-induced asthma,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Emotional stress dyspnea,Shvāsa,Respiratory,Prāṇavāha,Vata
Breathlessness at rest,Shvāsa,Respiratory,Prāṇavāha,Vata
Asthmatic wheeze,Shvāsa,Respiratory,Prāṇavāha,Vata and Kapha
Bronchial irritation,Kasa,Respiratory,Prāṇavāha,Kapha
Respiratory fatigue,Shvāsa,Respiratory,Prāṇavāha,Vata
Cyanosis,Shvāsa,Respiratory,Prāṇavāha,Vata and Pitta
Bluish lips,Shvāsa,Respiratory,Prāṇavāha,Vata and Pitta
Bluish nails,Shvāsa,Respiratory,Prāṇavāha,Vata and Pitta
Hemoptysis,Rajayakshma,Respiratory,Prāṇavāha,Pitta
Recurrent chest infections,Shvāsa Jvara,Respiratory,Prāṇavāha,Kapha
Frequent pneumonia,Shvāsa Jvara,Respiratory,Prāṇavāha,Pitta and Kapha
Suppurative lung abscess,Vidradhi,Respiratory,Prāṇavāha,Kapha
Pulmonary edema,Shvāsa,Respiratory,Prāṇavāha,Kapha
Irregular appetite,Agnimandya,Digestive,Annavāha,Vata and Kapha
Bitter vomiting,Chhardi,Digestive,Annavāha,Pitta
Sour vomiting,Chhardi,Digestive,Annavāha,Pitta
Projectile vomiting,Chhardi,Digestive,Annavāha,Vata
Foul-smelling belching,Udgara,Digestive,Annavāha,Kapha
Excess gas,Adhmana,Digestive,Annavāha,Vata
Burning in stomach,Amlapitta,Digestive,Annavāha,Pitta
Incomplete digestion,Ajeerna,Digestive,Annavāha,Kapha
Bitter taste,Rasa Vaishamya,Digestive,Annavāha,Pitta
Salty taste,Rasa Vaishamya,Digestive,Annavāha,Pitta
Pale tongue,Jihwa Vikara,Digestive,Annavāha,Pitta
Coated tongue,Jihwa Malinata,Digestive,Annavāha,Kapha
Oral dryness,Mukha Shosha,Digestive,Annavāha,Vata
Excess salivation,Mukha Srava,Digestive,Annavāha,Kapha
Dry lips,Oshta Shosha,Digestive,Annavāha,Vata
Abdominal rumbling,Atopa,Digestive,Annavāha,Vata
Gastric fullness,Adhmana,Digestive,Annavāha,Kapha
Abdominal tenderness,Shoola,Digestive,Annavāha,Pitta
Abdominal rigidity,Shoola,Digestive,Annavāha,Vata
Bloody diarrhea,Raktatisara,Digestive,Annavāha,Pitta
Greasy stools,Grahani,Digestive,Annavāha,Kapha
Scanty stools,Malabaddhata,Digestive,Annavāha,Vata
Foul-smelling stools,Atisara,Digestive,Annavāha,Pitta
Pale stools,Grahani,Digestive,Annavāha,Kapha
Floating stools,Atisara,Digestive,Annavāha,Kapha
Frequent stools,Atisara,Digestive,Annavāha,Pitta
Painful defecation,Arsha,Digestive,Annavāha,Vata
Urgency to defecate,Atisara,Digestive,Annavāha,Pitta
No urge to defecate,Malabaddhata,Digestive,Annavāha,Vata
Loss of control (incontinence),Atisara,Digestive,Annavāha,Vata
Crohn’s-like features,Grahani,Digestive,Annavāha,Vata
Gastric ulcer,Parinama Shoola,Digestive,Annavāha,Pitta
Duodenal ulcer,Parinama Shoola,Digestive,Annavāha,Pitta
Ulcer pain,Parinama Shoola,Digestive,Annavāha,Pitta
Burning stomach pain,Amlapitta,Digestive,Annavāha,Pitta
Food intolerance,Grahani,Digestive,Annavāha,Kapha
Lactose intolerance,Grahani,Digestive,Annavāha,Kapha
Gluten intolerance,Grahani,Digestive,Annavāha,Kapha
Abdominal gurgling,Atopa,Digestive,Annavāha,Vata
Poor absorption,Grahani,Digestive,Annavāha,Vata
Malnutrition,Kshaya,Digestive,Annavāha,Vata
Emaciation,Kshaya,Digestive,Annavāha,Vata
Pale skin from anemia,Pandu,Digestive,Annavāha,Pitta
Swelling from malabsorption,Shotha,Digestive,Annavāha,Kapha
Pancreatic pain,Agnimandya,Digestive,Annavāha,Pitta
Pancreatitis,Agnimandya,Digestive,Annavāha,Pitta
Flatulence after meals,Adhmana,Digestive,Annavāha,Vata
Colicky pain,Shoola,Digestive,Annavāha,Vata
Loss of thirst,Trishna Hani,Digestive,Annavāha,Vata
Thirstless state in Kapha,Trishna Hani,Digestive,Annavāha,Kapha
Abdominal gurgling at night,Atopa,Digestive,Annavāha,Vata
Abdominal pulsation,Shoola,Digestive,Annavāha,Vata
Burning anus,Arsha,Digestive,Annavāha,Pitta
Foul-smelling flatus,Adhmana,Digestive,Annavāha,Kapha
Excessive flatus,Adhmana,Digestive,Annavāha,Vata
Colitis-like pain,Grahani,Digestive,Annavāha,Pitta
Recurrent diarrhea,Atisara,Digestive,Annavāha,Pitta
Loose stools after meals,Grahani,Digestive,Annavāha,Pitta
Constipation with pain,Malabaddhata,Digestive,Annavāha,Vata
Irregular stools,Grahani,Digestive,Annavāha,Vata
Pain in umbilical region,Nabhi Shoola,Digestive,Annavāha,Vata
Heaviness after meals,Agnimandya,Digestive,Annavāha,Kapha
Slow metabolism,Agnimandya,Digestive,Annavāha,Kapha
Abdominal burning after food,Amlapitta,Digestive,Annavāha,Pitta
Vomiting after meals,Chhardi,Digestive,Annavāha,Pitta
Excess salivation after food,Mukha Srava,Digestive,Annavāha,Kapha
Dry mouth after meals,Mukha Shosha,Digestive,Annavāha,Vata
Food regurgitation,Udgara,Digestive,Annavāha,Kapha
Indigestion of heavy food,Ajeerna,Digestive,Annavāha,Kapha
Indigestion of sour food,Ajeerna,Digestive,Annavāha,Pitta
Indigestion of dry food,Ajeerna,Digestive,Annavāha,Vata
Abdominal pain relieved by stool,Shoola,Digestive,Annavāha,Vata
Abdominal pain relieved by flatus,Shoola,Digestive,Annavāha,Vata
Epigastric tenderness,Parinama Shoola,Digestive,Annavāha,Pitta
Ulcer-like gnawing pain,Parinama Shoola,Digestive,Annavāha,Pitta
Fatigue after meals,Ajeerna,Digestive,Annavāha,Kapha
Palpitations after meals,Hridroga,Digestive,Annavāha,Vata and Pitta
Hiccups after meals,Hikka,Digestive,Annavāha,Vata
Borborygmi,Atopa,Digestive,Annavāha,Vata
Stool with parasites,Krimi Roga,Digestive,Annavāha,Vata and Kapha
Itching anus,Krimi Roga,Digestive,Annavāha,Vata and Kapha
Pale face from indigestion,Ajeerna,Digestive,Annavāha,Kapha
Skin dullness from poor digestion,Agnimandya,Digestive,Annavāha,Kapha
Loss of strength from malabsorption,Grahani,Digestive,Annavāha,Vata
Slow heartbeat,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Vata and Kapha
Heart heaviness,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Kapha
Shortness of breath with exertion,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Vata and Kapha
Cyanosis (bluish lips),Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Swelling of feet,Shotha,Cardio-blood,Rasa/Rakta-vāha,Kapha
Leg edema,Shotha,Cardio-blood,Rasa/Rakta-vāha,Kapha
Whole body swelling,Shotha,Cardio-blood,Rasa/Rakta-vāha,Kapha
Headache from hypertension,Raktagata Vata,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Flushed face from hypertension,Raktagata Vata,Cardio-blood,Rasa/Rakta-vāha,Pitta
Easy bruising,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Prolonged bleeding,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Heavy menstrual bleeding,Asrigdara,Cardio-blood,Rasa/Rakta-vāha,Pitta
Fatigue from anemia,Pandu,Cardio-blood,Rasa/Rakta-vāha,Vata
Shortness of breath in anemia,Pandu,Cardio-blood,Rasa/Rakta-vāha,Vata
Paleness of lips,Pandu,Cardio-blood,Rasa/Rakta-vāha,Pitta
Paleness of nails,Pandu,Cardio-blood,Rasa/Rakta-vāha,Pitta
Dark circles under eyes,Pandu,Cardio-blood,Rasa/Rakta-vāha,Pitta
Loss of appetite in anemia,Pandu,Cardio-blood,Rasa/Rakta-vāha,Kapha
Cold intolerance,Vata Vyadhi,Cardio-blood,Rasa/Rakta-vāha,Vata
Leg heaviness,Sira Vikara,Cardio-blood,Rasa/Rakta-vāha,Kapha
Leg pain on walking,Sira Vikara,Cardio-blood,Rasa/Rakta-vāha,Vata
Cramping in calves,Vata Vyadhi,Cardio-blood,Rasa/Rakta-vāha,Vata
Throbbing veins,Sira Vikara,Cardio-blood,Rasa/Rakta-vāha,Vata
Deep vein thrombosis,Sira Granthi,Cardio-blood,Rasa/Rakta-vāha,Pitta and Kapha
Redness in veins,Sira Granthi,Cardio-blood,Rasa/Rakta-vāha,Pitta
Leg ulcer from poor circulation,Dushta Vrana,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Skin mottling,Vata Vyadhi,Cardio-blood,Rasa/Rakta-vāha,Vata
Cold clammy skin,Shosha,Cardio-blood,Rasa/Rakta-vāha,Vata
Palpable pulse variations,Nadi Vikara,Cardio-blood,Rasa/Rakta-vāha,Vata
Bounding pulse,Nadi Vikara,Cardio-blood,Rasa/Rakta-vāha,Pitta
Irregular pulse,Nadi Vikara,Cardio-blood,Rasa/Rakta-vāha,Vata
Pulse deficit,Nadi Vikara,Cardio-blood,Rasa/Rakta-vāha,Vata
Fever with palpitations,Jvara,Cardio-blood,Rasa/Rakta-vāha,Pitta
Chest burning sensation,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Pitta
Angina-like pain,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Sudden chest pressure,Hridroga,Cardio-blood,Rasa/Rakta-vāha,Vata
Anxiety with palpitations,Chittodvega,Cardio-blood,Rasa/Rakta-vāha,Vata
Lethargy from poor circulation,Daurbalya,Cardio-blood,Rasa/Rakta-vāha,Vata
Mental confusion in anemia,Smriti Bhramsha,Cardio-blood,Rasa/Rakta-vāha,Vata
Blurred vision in anemia,Timira,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Headache in anemia,Shirashoola,Cardio-blood,Rasa/Rakta-vāha,Vata
Lightheadedness,Bhrama,Cardio-blood,Rasa/Rakta-vāha,Vata
Cold sweats,Swedadhikya,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Tiredness after minor effort,Daurbalya,Cardio-blood,Rasa/Rakta-vāha,Vata
Poor wound healing,Ojakshaya,Cardio-blood,Rasa/Rakta-vāha,Tridosha
Excessive bleeding after injury,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Clotting abnormalities,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Thick blood,Rakta Vriddhi,Cardio-blood,Rasa/Rakta-vāha,Pitta and Kapha
Sluggish circulation,Rakta Stambha,Cardio-blood,Rasa/Rakta-vāha,Kapha
Hot sensation in blood,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Burning sensation in palms,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Burning sensation in soles,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Body heat rise,Raktapitta,Cardio-blood,Rasa/Rakta-vāha,Pitta
Excess thirst from blood vitiation,Trishna,Cardio-blood,Rasa/Rakta-vāha,Pitta
Dryness of skin from blood loss,Pandu,Cardio-blood,Rasa/Rakta-vāha,Vata
Paleness of conjunctiva,Pandu,Cardio-blood,Rasa/Rakta-vāha,Pitta
Yellowish skin tone,Kamala,Cardio-blood,Rasa/Rakta-vāha,Pitta
Dark discoloration of skin,Raktadushti,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Itchy skin in blood disorder,Raktadushti,Cardio-blood,Rasa/Rakta-vāha,Pitta and Kapha
Skin eruptions with blood vitiation,Raktadushti,Cardio-blood,Rasa/Rakta-vāha,Pitta
Rashes from blood disorder,Raktadushti,Cardio-blood,Rasa/Rakta-vāha,Pitta
Hives from blood disorder,Sheetapitta,Cardio-blood,Rasa/Rakta-vāha,Vata and Pitta
Boils from blood impurity,Pidaka,Cardio-blood,Rasa/Rakta-vāha,Pitta
Abscess from blood disorder,Vidradhi,Cardio-blood,Rasa/Rakta-vāha,Kapha
Abdominal obesity,Sthoulya,Obesity,Medo-vāha,Kapha
